step 1 layer number:0       UnitName  BlockTemperature
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:6       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:7       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:8       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:9       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:10       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:11       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:12       UnitName  BlockTemperature
5       Frame_B              45.0
7       Frame_L              45.0
3    SenseAmp_B              45.0
8       Frame_R              45.0
1  RowDecoder_L              45.0
0      MemArray              45.0
2  RowDecoder_R              45.0
4    SenseAmp_T              45.0
6       Frame_T              45.0
layer number:13       UnitName  BlockTemperature
5       Frame_B              45.0
7       Frame_L              45.0
3    SenseAmp_B              45.0
8       Frame_R              45.0
1  RowDecoder_L              45.0
0      MemArray              45.0
2  RowDecoder_R              45.0
4    SenseAmp_T              45.0
6       Frame_T              45.0
step 82 layer number:0       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:1       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:2       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:3       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:4       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:5       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:6       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:7       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:8       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:9       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:10       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:11       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:12       UnitName  BlockTemperature
5       Frame_B              45.0
7       Frame_L              45.0
3    SenseAmp_B              45.0
8       Frame_R              45.0
1  RowDecoder_L              45.0
0      MemArray              45.0
2  RowDecoder_R              45.0
4    SenseAmp_T              45.0
6       Frame_T              45.0
layer number:13       UnitName  BlockTemperature
5       Frame_B              45.0
7       Frame_L              45.0
3    SenseAmp_B              45.0
8       Frame_R              45.0
1  RowDecoder_L              45.0
0      MemArray              45.0
2  RowDecoder_R              45.0
4    SenseAmp_T              45.0
6       Frame_T              45.0
step 83 layer number:0       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:1       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:2       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:3       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:4       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:5       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:6       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:7       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:8       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:9       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:10       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:11       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:12       UnitName  BlockTemperature
5       Frame_B              45.0
7       Frame_L              45.0
3    SenseAmp_B              45.0
8       Frame_R              45.0
1  RowDecoder_L              45.0
0      MemArray              45.0
2  RowDecoder_R              45.0
4    SenseAmp_T              45.0
6       Frame_T              45.0
layer number:13       UnitName  BlockTemperature
5       Frame_B              45.0
7       Frame_L              45.0
3    SenseAmp_B              45.0
8       Frame_R              45.0
1  RowDecoder_L              45.0
0      MemArray              45.0
2  RowDecoder_R              45.0
4    SenseAmp_T              45.0
6       Frame_T              45.0
step 84 layer number:0       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:1       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:2       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:3       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:4       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:5       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:6       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:7       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:8       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:9       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:10       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:11       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:12       UnitName  BlockTemperature
5       Frame_B              45.0
7       Frame_L              45.0
3    SenseAmp_B              45.0
8       Frame_R              45.0
1  RowDecoder_L              45.0
0      MemArray              45.0
2  RowDecoder_R              45.0
4    SenseAmp_T              45.0
6       Frame_T              45.0
layer number:13       UnitName  BlockTemperature
5       Frame_B              45.0
7       Frame_L              45.0
3    SenseAmp_B              45.0
8       Frame_R              45.0
1  RowDecoder_L              45.0
0      MemArray              45.0
2  RowDecoder_R              45.0
4    SenseAmp_T              45.0
6       Frame_T              45.0
step 85 layer number:0       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:1       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:2       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:3       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:4       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:5       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:6       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:7       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:8       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:9       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:10       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:11       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:12       UnitName  BlockTemperature
5       Frame_B              45.0
7       Frame_L              45.0
3    SenseAmp_B              45.0
8       Frame_R              45.0
1  RowDecoder_L              45.0
0      MemArray              45.0
2  RowDecoder_R              45.0
4    SenseAmp_T              45.0
6       Frame_T              45.0
layer number:13       UnitName  BlockTemperature
5       Frame_B              45.0
7       Frame_L              45.0
3    SenseAmp_B              45.0
8       Frame_R              45.0
1  RowDecoder_L              45.0
0      MemArray              45.0
2  RowDecoder_R              45.0
4    SenseAmp_T              45.0
6       Frame_T              45.0
step 86 layer number:0       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:1       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:2       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:3       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:4       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:5       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:6       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:7       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:8       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:9       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:10       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:11       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:12       UnitName  BlockTemperature
5       Frame_B              45.0
7       Frame_L              45.0
3    SenseAmp_B              45.0
8       Frame_R              45.0
1  RowDecoder_L              45.0
0      MemArray              45.0
2  RowDecoder_R              45.0
4    SenseAmp_T              45.0
6       Frame_T              45.0
layer number:13       UnitName  BlockTemperature
5       Frame_B              45.0
7       Frame_L              45.0
3    SenseAmp_B              45.0
8       Frame_R              45.0
1  RowDecoder_L              45.0
0      MemArray              45.0
2  RowDecoder_R              45.0
4    SenseAmp_T              45.0
6       Frame_T              45.0
step 87 layer number:0       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:1       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:2       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:3       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:4       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:5       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:6       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:7       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:8       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:9       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:10       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:11       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:12       UnitName  BlockTemperature
5       Frame_B              45.0
7       Frame_L              45.0
3    SenseAmp_B              45.0
8       Frame_R              45.0
1  RowDecoder_L              45.0
0      MemArray              45.0
2  RowDecoder_R              45.0
4    SenseAmp_T              45.0
6       Frame_T              45.0
layer number:13       UnitName  BlockTemperature
5       Frame_B              45.0
7       Frame_L              45.0
3    SenseAmp_B              45.0
8       Frame_R              45.0
1  RowDecoder_L              45.0
0      MemArray              45.0
2  RowDecoder_R              45.0
4    SenseAmp_T              45.0
6       Frame_T              45.0
step 88 layer number:0       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:1       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:2       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:3       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:4       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:5       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:6       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:7       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
3       Frame_T              45.0
4      MemArray              45.0
5  RowDecoder_L              45.0
6  RowDecoder_R              45.0
7    SenseAmp_B              45.0
8    SenseAmp_T              45.0
layer number:8       UnitName  BlockTemperature
0       Frame_B              45.0
1       Frame_L              45.0
2       Frame_R              45.0
